score	bar_type	drain_tot	strkm_tot	upstr_bars	Slope_perc	Q2_m3_s	w_W_m2_ST	hydro_rof	struct_rof	geo_rof	ave_Value	afAve_Value	max_Dif	Observed_Date	unique_id	featureid
0.667	1	0.0144	0.090911203	0	1.79	6.230936962	119.2159412	0.337279009	0.819890495	0.9927951	NA	NA	NA	NA	310	201475422
0.756	1	9.1755	8.65580751	5	1.79	6.230936962	119.2159412	0.5742063	0.595835663	0.597556484	NA	NA	NA	NA	307	201475422
0.575	1	3.0753	3.079164571	0	4.4499998	2.731835495	196.2419702	0.932869238	0.159195676	0.013453871	NA	NA	NA	NA	317	201475564
0.869	1	9.3852	10.21627995	10	2.1300001	7.058953688	150.9921692	0.823384848	0.607108413	0.161354086	NA	NA	NA	NA	215	201475020
0.821	1	13.2678	9.219387663	9	1.33	9.461093359	109.1508068	0.637213006	0.531031814	0.625792284	NA	NA	NA	NA	208	201475065
0.623	1	0.6921	0.681201278	0	6.25	0.759742032	145.3509002	0.604100627	0.368918721	0.809300516	NA	NA	NA	NA	336	201475473
0.599	1	0.711	0.779217156	1	6.25	0.759742032	145.3509002	0.749674909	0.148123262	0.255214244	NA	NA	NA	NA	337	201475473
0	1	24.0768	21.58068342	21	1.14	16.22917687	122.534314	0.77528398	0.935939968	0.3980868	NA	NA	NA	NA	263	201475317
0.61	1	0.0504	0.231540934	0	7.25	0.138015077	71.86309282	0.165640769	0.184824526	0.671049974	NA	NA	NA	NA	116	201474705
0.917	1	18.9162	18.09556272	9	0.43	12.39379086	40.390123	0.214133632	0.144595332	0.806658106	NA	NA	NA	NA	355	201475578
0.901	1	20.6361	18.79763219	10	2.8199999	13.84854552	279.9985684	0.820145326	0.067762893	0.386853058	NA	NA	NA	NA	356	201475578
0.934	1	25.9272	22.41935456	22	1.08	17.39905632	120.1963421	0.085740582	0.364280036	0.461015299	NA	NA	NA	NA	265	201475317
0.943	1	26.316	22.8328261	23	1.08	17.39905632	120.1963421	0.911149365	0.744126137	0.870348488	NA	NA	NA	NA	264	201475317
0.79	1	6.21	5.119782668	0	3.1199999	10.60380921	271.0754341	0.48506821	0.82055998	0.689199109	NA	NA	NA	NA	196	201474942
0.76	1	4.4757	5.306120468	1	2.6700001	4.014606555	142.7372745	0.684789463	0.143435212	0.103859021	NA	NA	NA	NA	151	201474849
0.729	1	4.6926	5.450582345	2	2.6700001	4.014606555	142.7372745	0.479026347	0.98972445	0.026581102	NA	NA	NA	NA	152	201474849
0	1	0.0747	0.167055986	0	10.1199999	0.321682792	153.143671	0.642172399	0.865378608	0.067475979	NA	NA	NA	NA	362	201475579
0.621	1	1.6551	1.594936529	0	4.75	1.71481444	165.9612919	0.097379826	0.186672735	0.270427417	NA	NA	NA	NA	321	201475445
0.592	1	1.7928	1.678012672	1	4.75	1.71481444	165.9612919	0.534443877	0.29634732	0.776749861	NA	NA	NA	NA	322	201475445
0.92	1	21.6756	19.8138046	11	2.8199999	13.84854552	279.9985684	0.08518817	0.174509192	0.346604165	NA	NA	NA	NA	357	201475578
0.652	1	1.8549	1.859446448	2	4.75	1.71481444	165.9612919	0.725540256	0.518326949	0.239301763	NA	NA	NA	NA	325	201475445
0.633	1	1.8621	1.895866807	3	4.75	1.71481444	165.9612919	0.289695559	0.785414952	0.247707622	NA	NA	NA	NA	324	201475445
0.622	1	0.2223	0.655320216	1	10.1199999	0.321682792	153.143671	0.597404447	0.796623466	0.401839801	NA	NA	NA	NA	363	201475579
0.952	1	76.8708	75.53814507	57	0.45	41.80274887	77.6282068	0.662799459	0.076482057	0.148555231	NA	NA	NA	NA	360	201475579
0.926	1	18.3582	19.8843539	5	1.4400001	12.20660412	134.2346301	0.00389244	0.66218522	0.898384148	NA	NA	NA	NA	253	201475272
0.68	1	2.1033	2.263505758	4	4.75	1.71481444	165.9612919	0.350244979	0.740046155	0.708678561	NA	NA	NA	NA	323	201475445
0.592	1	1.4886	0.879022916	0	4.1100001	1.472593352	133.072368	0.59065709	0.836477868	0.250335828	NA	NA	NA	NA	155	201474850
0.711	1	4.9671	3.346052552	3	5.75	3.824623801	300.0314892	0.539071643	0.798085585	0.376798915	NA	NA	NA	NA	252	201475273
0.653	1	0.2511	0.316326924	0	5.2600002	0.254457524	70.79425942	0.799627272	0.767626349	0.457936585	NA	NA	NA	NA	314	201475435
0.671	1	0.2691	0.42581893	1	5.2600002	0.254457524	70.79425942	0.85569379	0.237646106	0.742042608	NA	NA	NA	NA	315	201475435
0.739	1	4.8771	3.138319062	2	5.75	3.824623801	300.0314892	0.51375468	0.536873066	0.256243236	NA	NA	NA	NA	251	201475273
0.949	1	55.6479	54.02592945	37	0.43	31.55023668	64.44280043	0.21897658	0.546076531	0.403077564	NA	NA	NA	NA	282	201475435
0.731	1	4.4937	2.666696756	0	5.75	3.824623801	300.0314892	0.01306653	0.133543608	0.906674666	NA	NA	NA	NA	249	201475273
0.689	1	2.8953	3.473833944	2	4.7600002	1.864873716	173.43483	0.521847288	0.933037965	0.54292399	NA	NA	NA	NA	287	201475340
0.738	1	4.6827	2.943890372	1	5.75	3.824623801	300.0314892	0.741359466	0.892887716	0.826314291	NA	NA	NA	NA	250	201475273
0.867	1	17.0838	15.93768406	11	1.45	11.40320833	130.6430098	0.356753629	0.506856441	0.783595134	NA	NA	NA	NA	339	201475486
0.868	1	9.5886	8.36002652	4	1.27	7.370102071	91.99094855	0.623285347	0.713282107	0.157787597	NA	NA	NA	NA	366	201475585
0.736	1	4.8969	4.411797746	1	0.37	3.71821591	19.0359109	0.878969938	0.342663981	0.614577489	NA	NA	NA	NA	365	201475585
0.76	1	3.5127	3.370374883	1	2.9000001	3.245096067	139.385123	0.90096562	0.383525843	0.055272518	NA	NA	NA	NA	352	201475514
0.671	1	3.0249	2.634654127	0	2.9000001	3.245096067	139.385123	0.921561176	0.306752092	0.207893939	NA	NA	NA	NA	351	201475514
0.613	1	0.4563	0.491345648	0	0.9	0.484571705	16.71576107	0.421854926	0.026221957	0.257091675	NA	NA	NA	NA	383	201475651
0.7	1	2.5164	2.912598265	1	4.7600002	1.864873716	173.43483	0.503248792	0.246020481	0.232589855	NA	NA	NA	NA	286	201475340
0.65	1	2.3355	2.6786867	0	4.7600002	1.864873716	173.43483	0.6143674	0.366209091	0.908465494	NA	NA	NA	NA	285	201475340
0.918	1	14.922	13.91723182	10	1.33	10.14881142	113.0482588	0.788154275	0.018805561	0.323288472	NA	NA	NA	NA	341	201475589
0.845	1	10.3167	9.311949262	6	3.76	2.227713176	149.7345811	0.678663359	0.595753674	0.698621103	NA	NA	NA	NA	368	201475585
0.841	1	10.0746	8.946952713	5	1.27	7.370102071	91.99094855	0.753690448	0.55717016	0.369777485	NA	NA	NA	NA	367	201475585
0.721	1	2.556	2.55876527	2	3.76	2.227713176	149.7345811	0.470517978	0.132121842	0.929976804	NA	NA	NA	NA	372	201475844
0.765	1	3.9483	2.241215052	0	3.71	5.601722696	234.2822296	0.051889319	0.995058807	0.031954254	NA	NA	NA	NA	181	201474969
0.591	1	0.5958	0.479612939	0	5.7800002	0.829916032	140.4913425	0.556097531	0.745837188	0.737350389	NA	NA	NA	NA	1743	201477681
0.632	1	0.2556	0.182762132	0	10.9300003	1.229838887	323.4066279	0.622758733	0.251891703	0.96662358	NA	NA	NA	NA	1803	201477717
0.526	1	0.9	0.990791442	1	10.9300003	1.229838887	323.4066279	0.001773726	0.848661785	0.93707127	NA	NA	NA	NA	1804	201477717
0.722	1	2.0061	1.397794758	0	5.1999998	2.065590166	199.4022423	0.671318687	0.126667018	0.569217488	NA	NA	NA	NA	1584	201477449
0.559	1	0.4473	0.521961423	0	8.5900002	2.568736707	367.3310149	0.789998328	0.385402753	0.55577065	NA	NA	NA	NA	1581	201477449
0.624	1	1.1232	1.197125114	0	5.6399999	1.155163845	161.7355609	0.043533631	0.155116519	0.41187908	NA	NA	NA	NA	1541	201477402
0.587	1	1.17	1.062035656	0	4.54	5.28107927	278.3696117	0.886046213	0.688130797	0.644491663	NA	NA	NA	NA	1557	201477476
0.859	1	7.3449	8.131691966	4	3.6900001	5.001486046	220.1813524	0.518136396	0.78169176	0.390311225	NA	NA	NA	NA	1559	201477426
0.848	1	8.082	9.058732475	5	4.9699998	5.303851983	305.3913273	0.68794369	0.089413691	0.410015417	NA	NA	NA	NA	1561	201477426
0.138	1	9.4752	9.796484621	6	2.7	6.797498454	187.8204868	0.64260493	0.988666018	0.460310156	NA	NA	NA	05/22/2015	1562	201477426
0.866	1	10.6776	10.5626205	7	2.7	6.797498454	187.8204868	0.085033001	0.465940683	0.265727105	NA	NA	NA	NA	1563	201477426
0.647	1	3.1185	3.271583849	0	6.8099999	2.373500242	279.9280248	0.19232702	0.242528092	0.347873414	NA	NA	NA	NA	1591	201477530
